regionId,provinceName,neighborhoodId,neighborhoodName,رقم الصفقة,رقم المخطط,رقم البلوك,رقم القطعة,قيمة الصفقة (﷼),سعر المتر (﷼),تاريخ الصفقة,نوع الأرض,نوع الاستخدام,المساحة الإجمالية,المصدر,sellingType,landUseGroup,propertyType,centroidX,centroidY,polygonData,geometry
2,جدة,21001214,الفيحاء,31887668,480 ج / س / المعدل,---,2,828000.0,4080.0,2025-09-04T00:00:00,شقة,شقق,202.95,MOJ,فردي,سكني,شقة,39.22711049214649,21.509370856044583,"{""type"":""Polygon"",""coordinates"":[[[39.227403,21.509893],[39.227298,21.508809],[39.226817,21.50885],[39.226924,21.509933],[39.227403,21.509893]]]}",
2,جدة,21001214,الفيحاء,31888072,480 ج / س / المعدل,---,1,1050000.0,4122.0,2025-09-04T00:00:00,شقة,شقق,254.7,MOJ,فردي,سكني,شقة,39.226635972676945,21.50940225552087,"{""type"":""Polygon"",""coordinates"":[[[39.226924,21.509933],[39.226817,21.50885],[39.22645,21.508881],[39.226432,21.508888],[39.226414,21.508897],[39.226398,21.508907],[39.226384,21.50892],[39.226371,21.508934],[39.226361,21.50895],[39.226352,21.508967],[39.226346,21.508984],[39.226425,21.509773],[39.226439,21.509805],[39.226458,21.509835],[39.226479,21.509862],[39.226504,21.509887],[39.226532,21.50991],[39.226562,21.509929],[39.226595,21.509945],[39.226629,21.509958],[39.226924,21.509933]]]}",
2,جدة,21001214,الفيحاء,31854587,480 ج / س / المعدل,---,4,630000.0,3880.0,2025-09-03T00:00:00,شقة,شقق,162.38,MOJ,فردي,سكني,شقة,39.228401914510606,21.50925591507415,"{""type"":""Polygon"",""coordinates"":[[[39.228721,21.509776],[39.228611,21.508692],[39.228221,21.508728],[39.228196,21.508732],[39.228172,21.50874],[39.22815,21.508751],[39.22813,21.508766],[39.228113,21.508785],[39.2281,21.508805],[39.228091,21.508828],[39.228086,21.508851],[39.228168,21.509665],[39.228176,21.50969],[39.228187,21.509714],[39.228202,21.509737],[39.22822,21.509757],[39.228241,21.509775],[39.228264,21.509791],[39.228289,21.509803],[39.228315,21.509812],[39.228721,21.509776]]]}",
2,جدة,21001214,الفيحاء,31850412,480 ج / س / المعدل,---,4,645000.0,4100.0,2025-09-03T00:00:00,شقة,شقق,157.3,MOJ,فردي,سكني,شقة,39.228401914510606,21.50925591507415,"{""type"":""Polygon"",""coordinates"":[[[39.228721,21.509776],[39.228611,21.508692],[39.228221,21.508728],[39.228196,21.508732],[39.228172,21.50874],[39.22815,21.508751],[39.22813,21.508766],[39.228113,21.508785],[39.2281,21.508805],[39.228091,21.508828],[39.228086,21.508851],[39.228168,21.509665],[39.228176,21.50969],[39.228187,21.509714],[39.228202,21.509737],[39.22822,21.509757],[39.228241,21.509775],[39.228264,21.509791],[39.228289,21.509803],[39.228315,21.509812],[39.228721,21.509776]]]}",
2,جدة,21001214,الفيحاء,31860396,480 ج / س / المعدل,---,2,1050000.0,3934.0,2025-09-03T00:00:00,شقة,شقق,266.93,MOJ,فردي,سكني,شقة,39.22711049214649,21.509370856044583,"{""type"":""Polygon"",""coordinates"":[[[39.227403,21.509893],[39.227298,21.508809],[39.226817,21.50885],[39.226924,21.509933],[39.227403,21.509893]]]}",
2,جدة,21001214,الفيحاء,31852760,480 ج / س / المعدل,---,1,890000.0,4134.0,2025-09-03T00:00:00,شقة,شقق,215.29,MOJ,فردي,سكني,شقة,39.226635972676945,21.50940225552087,"{""type"":""Polygon"",""coordinates"":[[[39.226924,21.509933],[39.226817,21.50885],[39.22645,21.508881],[39.226432,21.508888],[39.226414,21.508897],[39.226398,21.508907],[39.226384,21.50892],[39.226371,21.508934],[39.226361,21.50895],[39.226352,21.508967],[39.226346,21.508984],[39.226425,21.509773],[39.226439,21.509805],[39.226458,21.509835],[39.226479,21.509862],[39.226504,21.509887],[39.226532,21.50991],[39.226562,21.509929],[39.226595,21.509945],[39.226629,21.509958],[39.226924,21.509933]]]}",
2,جدة,21001214,الفيحاء,31848387,480 ج / س / المعدل,---,1,1200000.0,7270.0,2025-09-03T00:00:00,شقة,شقق,165.07,MOJ,فردي,سكني,شقة,39.226635972676945,21.50940225552087,"{""type"":""Polygon"",""coordinates"":[[[39.226924,21.509933],[39.226817,21.50885],[39.22645,21.508881],[39.226432,21.508888],[39.226414,21.508897],[39.226398,21.508907],[39.226384,21.50892],[39.226371,21.508934],[39.226361,21.50895],[39.226352,21.508967],[39.226346,21.508984],[39.226425,21.509773],[39.226439,21.509805],[39.226458,21.509835],[39.226479,21.509862],[39.226504,21.509887],[39.226532,21.50991],[39.226562,21.509929],[39.226595,21.509945],[39.226629,21.509958],[39.226924,21.509933]]]}",
2,جدة,21001214,الفيحاء,31811814,480 ج / س / المعدل,---,3,590000.0,3688.0,2025-09-01T00:00:00,شقة,شقق,159.98,MOJ,فردي,سكني,شقة,39.22759961639547,21.509327860998933,"{""type"":""Polygon"",""coordinates"":[[[39.227897,21.509688],[39.227814,21.508888],[39.227808,21.508861],[39.227796,21.508836],[39.227778,21.508814],[39.227755,21.508796],[39.227729,21.508784],[39.227701,21.508777],[39.227671,21.508775],[39.227643,21.50878],[39.227298,21.508809],[39.227403,21.509893],[39.227768,21.509862],[39.227795,21.509849],[39.22782,21.509834],[39.227842,21.509815],[39.22786,21.509793],[39.227875,21.509769],[39.227887,21.509743],[39.227894,21.509716],[39.227897,21.509688]]]}",
2,جدة,21001214,الفيحاء,31807000,480 ج / س / المعدل,---,3,968000.0,4706.0,2025-09-01T00:00:00,شقة,شقق,205.7,MOJ,فردي,سكني,شقة,39.22759961639547,21.509327860998933,"{""type"":""Polygon"",""coordinates"":[[[39.227897,21.509688],[39.227814,21.508888],[39.227808,21.508861],[39.227796,21.508836],[39.227778,21.508814],[39.227755,21.508796],[39.227729,21.508784],[39.227701,21.508777],[39.227671,21.508775],[39.227643,21.50878],[39.227298,21.508809],[39.227403,21.509893],[39.227768,21.509862],[39.227795,21.509849],[39.22782,21.509834],[39.227842,21.509815],[39.22786,21.509793],[39.227875,21.509769],[39.227887,21.509743],[39.227894,21.509716],[39.227897,21.509688]]]}",
2,جدة,21001214,الفيحاء,31810914,480 ج / س / المعدل,---,3,750000.0,3966.0,2025-09-01T00:00:00,شقة,شقق,189.09,MOJ,فردي,سكني,شقة,39.22759961639547,21.509327860998933,"{""type"":""Polygon"",""coordinates"":[[[39.227897,21.509688],[39.227814,21.508888],[39.227808,21.508861],[39.227796,21.508836],[39.227778,21.508814],[39.227755,21.508796],[39.227729,21.508784],[39.227701,21.508777],[39.227671,21.508775],[39.227643,21.50878],[39.227298,21.508809],[39.227403,21.509893],[39.227768,21.509862],[39.227795,21.509849],[39.22782,21.509834],[39.227842,21.509815],[39.22786,21.509793],[39.227875,21.509769],[39.227887,21.509743],[39.227894,21.509716],[39.227897,21.509688]]]}",
2,جدة,21001214,الفيحاء,31802642,480 ج / س / المعدل,---,2,1000000.0,4328.0,2025-09-01T00:00:00,شقة,شقق,231.03,MOJ,فردي,سكني,شقة,39.22711049214649,21.509370856044583,"{""type"":""Polygon"",""coordinates"":[[[39.227403,21.509893],[39.227298,21.508809],[39.226817,21.50885],[39.226924,21.509933],[39.227403,21.509893]]]}",
2,جدة,21001214,الفيحاء,31800884,480 ج / س / المعدل,---,1,880000.0,4277.0,2025-09-01T00:00:00,شقة,شقق,205.75,MOJ,فردي,سكني,شقة,39.226635972676945,21.50940225552087,"{""type"":""Polygon"",""coordinates"":[[[39.226924,21.509933],[39.226817,21.50885],[39.22645,21.508881],[39.226432,21.508888],[39.226414,21.508897],[39.226398,21.508907],[39.226384,21.50892],[39.226371,21.508934],[39.226361,21.50895],[39.226352,21.508967],[39.226346,21.508984],[39.226425,21.509773],[39.226439,21.509805],[39.226458,21.509835],[39.226479,21.509862],[39.226504,21.509887],[39.226532,21.50991],[39.226562,21.509929],[39.226595,21.509945],[39.226629,21.509958],[39.226924,21.509933]]]}",
2,جدة,21001214,الفيحاء,31806364,480 ج / س / المعدل,---,1,800000.0,4198.0,2025-09-01T00:00:00,شقة,شقق,190.55,MOJ,فردي,سكني,شقة,39.226635972676945,21.50940225552087,"{""type"":""Polygon"",""coordinates"":[[[39.226924,21.509933],[39.226817,21.50885],[39.22645,21.508881],[39.226432,21.508888],[39.226414,21.508897],[39.226398,21.508907],[39.226384,21.50892],[39.226371,21.508934],[39.226361,21.50895],[39.226352,21.508967],[39.226346,21.508984],[39.226425,21.509773],[39.226439,21.509805],[39.226458,21.509835],[39.226479,21.509862],[39.226504,21.509887],[39.226532,21.50991],[39.226562,21.509929],[39.226595,21.509945],[39.226629,21.509958],[39.226924,21.509933]]]}",
2,جدة,21001214,الفيحاء,31788717,480 ج / س / المعدل,---,4,823529.0,4526.0,2025-08-31T00:00:00,شقة,شقق,181.94,MOJ,فردي,سكني,شقة,39.228401914510606,21.50925591507415,"{""type"":""Polygon"",""coordinates"":[[[39.228721,21.509776],[39.228611,21.508692],[39.228221,21.508728],[39.228196,21.508732],[39.228172,21.50874],[39.22815,21.508751],[39.22813,21.508766],[39.228113,21.508785],[39.2281,21.508805],[39.228091,21.508828],[39.228086,21.508851],[39.228168,21.509665],[39.228176,21.50969],[39.228187,21.509714],[39.228202,21.509737],[39.22822,21.509757],[39.228241,21.509775],[39.228264,21.509791],[39.228289,21.509803],[39.228315,21.509812],[39.228721,21.509776]]]}",
2,جدة,21001214,الفيحاء,31789079,480 ج / س / المعدل,---,4,660000.0,4035.0,2025-08-31T00:00:00,شقة,شقق,163.55,MOJ,فردي,سكني,شقة,39.228401914510606,21.50925591507415,"{""type"":""Polygon"",""coordinates"":[[[39.228721,21.509776],[39.228611,21.508692],[39.228221,21.508728],[39.228196,21.508732],[39.228172,21.50874],[39.22815,21.508751],[39.22813,21.508766],[39.228113,21.508785],[39.2281,21.508805],[39.228091,21.508828],[39.228086,21.508851],[39.228168,21.509665],[39.228176,21.50969],[39.228187,21.509714],[39.228202,21.509737],[39.22822,21.509757],[39.228241,21.509775],[39.228264,21.509791],[39.228289,21.509803],[39.228315,21.509812],[39.228721,21.509776]]]}",
2,جدة,21001214,الفيحاء,31783658,480 ج / س / المعدل,---,4,925000.0,4590.0,2025-08-31T00:00:00,شقة,شقق,201.52,MOJ,فردي,سكني,شقة,39.228401914510606,21.50925591507415,"{""type"":""Polygon"",""coordinates"":[[[39.228721,21.509776],[39.228611,21.508692],[39.228221,21.508728],[39.228196,21.508732],[39.228172,21.50874],[39.22815,21.508751],[39.22813,21.508766],[39.228113,21.508785],[39.2281,21.508805],[39.228091,21.508828],[39.228086,21.508851],[39.228168,21.509665],[39.228176,21.50969],[39.228187,21.509714],[39.228202,21.509737],[39.22822,21.509757],[39.228241,21.509775],[39.228264,21.509791],[39.228289,21.509803],[39.228315,21.509812],[39.228721,21.509776]]]}",
2,جدة,21001214,الفيحاء,31789592,480 ج / س / المعدل,---,3,750000.0,3966.0,2025-08-31T00:00:00,شقة,شقق,189.09,MOJ,فردي,سكني,شقة,39.22759961639547,21.509327860998933,"{""type"":""Polygon"",""coordinates"":[[[39.227897,21.509688],[39.227814,21.508888],[39.227808,21.508861],[39.227796,21.508836],[39.227778,21.508814],[39.227755,21.508796],[39.227729,21.508784],[39.227701,21.508777],[39.227671,21.508775],[39.227643,21.50878],[39.227298,21.508809],[39.227403,21.509893],[39.227768,21.509862],[39.227795,21.509849],[39.22782,21.509834],[39.227842,21.509815],[39.22786,21.509793],[39.227875,21.509769],[39.227887,21.509743],[39.227894,21.509716],[39.227897,21.509688]]]}",
2,جدة,21001214,الفيحاء,31781341,480 ج / س / المعدل,---,3,580000.0,3680.0,2025-08-31T00:00:00,شقة,شقق,157.62,MOJ,فردي,سكني,شقة,39.22759961639547,21.509327860998933,"{""type"":""Polygon"",""coordinates"":[[[39.227897,21.509688],[39.227814,21.508888],[39.227808,21.508861],[39.227796,21.508836],[39.227778,21.508814],[39.227755,21.508796],[39.227729,21.508784],[39.227701,21.508777],[39.227671,21.508775],[39.227643,21.50878],[39.227298,21.508809],[39.227403,21.509893],[39.227768,21.509862],[39.227795,21.509849],[39.22782,21.509834],[39.227842,21.509815],[39.22786,21.509793],[39.227875,21.509769],[39.227887,21.509743],[39.227894,21.509716],[39.227897,21.509688]]]}",
2,جدة,21001214,الفيحاء,31789407,480 ج / س / المعدل,---,2,700000.0,3934.0,2025-08-31T00:00:00,شقة,شقق,177.95,MOJ,فردي,سكني,شقة,39.22711049214649,21.509370856044583,"{""type"":""Polygon"",""coordinates"":[[[39.227403,21.509893],[39.227298,21.508809],[39.226817,21.50885],[39.226924,21.509933],[39.227403,21.509893]]]}",
