region_id,region_name,region_centroid_x,region_centroid_y,boundary_sw_x,boundary_sw_y,boundary_ne_x,boundary_ne_y,region_image,province_id,province_name,province_centroid_x,province_centroid_y
10,الرياض,46.6893526894509,24.6787559510409,41.686026,19.208334,48.1838,27.7021,https://suhailapp.obs.me-east-1.myhuaweicloud.com/static-files/region_riyadh.png,101018,الحريق,46.502570981041295,23.636735246847998
10,الرياض,46.6893526894509,24.6787559510409,41.686026,19.208334,48.1838,27.7021,https://suhailapp.obs.me-east-1.myhuaweicloud.com/static-files/region_riyadh.png,101015,رمـاح,47.17701555395518,25.520706416692203
10,الرياض,46.6893526894509,24.6787559510409,41.686026,19.208334,48.1838,27.7021,https://suhailapp.obs.me-east-1.myhuaweicloud.com/static-files/region_riyadh.png,101009,شـقراء,45.24554681390492,25.20184909171238
10,الرياض,46.6893526894509,24.6787559510409,41.686026,19.208334,48.1838,27.7021,https://suhailapp.obs.me-east-1.myhuaweicloud.com/static-files/region_riyadh.png,101006,وادي الدواسر,44.77088060208422,20.4668318509133
10,الرياض,46.6893526894509,24.6787559510409,41.686026,19.208334,48.1838,27.7021,https://suhailapp.obs.me-east-1.myhuaweicloud.com/static-files/region_riyadh.png,101001,الدرعية,46.56910567089585,24.74693834073349
10,الرياض,46.6893526894509,24.6787559510409,41.686026,19.208334,48.1838,27.7021,https://suhailapp.obs.me-east-1.myhuaweicloud.com/static-files/region_riyadh.png,101011,عفيف,42.902788904750615,23.893567294444367
10,الرياض,46.6893526894509,24.6787559510409,41.686026,19.208334,48.1838,27.7021,https://suhailapp.obs.me-east-1.myhuaweicloud.com/static-files/region_riyadh.png,101020,مرات,45.44699751302853,25.0727180843136
10,الرياض,46.6893526894509,24.6787559510409,41.686026,19.208334,48.1838,27.7021,https://suhailapp.obs.me-east-1.myhuaweicloud.com/static-files/region_riyadh.png,101012,السـليل,45.59169373166689,20.45582409087714
10,الرياض,46.6893526894509,24.6787559510409,41.686026,19.208334,48.1838,27.7021,https://suhailapp.obs.me-east-1.myhuaweicloud.com/static-files/region_riyadh.png,101010,حوطة بني تميم,46.862398717238506,23.458690676328878
10,الرياض,46.6893526894509,24.6787559510409,41.686026,19.208334,48.1838,27.7021,https://suhailapp.obs.me-east-1.myhuaweicloud.com/static-files/region_riyadh.png,101003,الدوادمي,44.397866882388435,24.538975871157785
10,الرياض,46.6893526894509,24.6787559510409,41.686026,19.208334,48.1838,27.7021,https://suhailapp.obs.me-east-1.myhuaweicloud.com/static-files/region_riyadh.png,101002,الخرج,47.34136889971158,23.995710471370597
10,الرياض,46.6893526894509,24.6787559510409,41.686026,19.208334,48.1838,27.7021,https://suhailapp.obs.me-east-1.myhuaweicloud.com/static-files/region_riyadh.png,101013,ضـرما,46.12354756720016,24.595259960213333
10,الرياض,46.6893526894509,24.6787559510409,41.686026,19.208334,48.1838,27.7021,https://suhailapp.obs.me-east-1.myhuaweicloud.com/static-files/region_riyadh.png,101005,القويعـية,45.2874711392253,24.082317945487265
10,الرياض,46.6893526894509,24.6787559510409,41.686026,19.208334,48.1838,27.7021,https://suhailapp.obs.me-east-1.myhuaweicloud.com/static-files/region_riyadh.png,101007,الأفـلاج,46.715444267115785,22.295073722206904
10,الرياض,46.6893526894509,24.6787559510409,41.686026,19.208334,48.1838,27.7021,https://suhailapp.obs.me-east-1.myhuaweicloud.com/static-files/region_riyadh.png,101016,ثـادق,45.86409457237059,25.276020650951917
10,الرياض,46.6893526894509,24.6787559510409,41.686026,19.208334,48.1838,27.7021,https://suhailapp.obs.me-east-1.myhuaweicloud.com/static-files/region_riyadh.png,101021,الدلم,47.112904782275336,24.01763887722338
10,الرياض,46.6893526894509,24.6787559510409,41.686026,19.208334,48.1838,27.7021,https://suhailapp.obs.me-east-1.myhuaweicloud.com/static-files/region_riyadh.png,101022,الرين,45.511691182826006,23.54122232345389
10,الرياض,46.6893526894509,24.6787559510409,41.686026,19.208334,48.1838,27.7021,https://suhailapp.obs.me-east-1.myhuaweicloud.com/static-files/region_riyadh.png,101019,الغـاط,44.937938596442095,26.0301475625097
10,الرياض,46.6893526894509,24.6787559510409,41.686026,19.208334,48.1838,27.7021,https://suhailapp.obs.me-east-1.myhuaweicloud.com/static-files/region_riyadh.png,101014,المزاحمـية,46.27978313722945,24.46778261162726
10,الرياض,46.6893526894509,24.6787559510409,41.686026,19.208334,48.1838,27.7021,https://suhailapp.obs.me-east-1.myhuaweicloud.com/static-files/region_riyadh.png,101000,الرياض,46.688852973932114,24.67893932829408
10,الرياض,46.6893526894509,24.6787559510409,41.686026,19.208334,48.1838,27.7021,https://suhailapp.obs.me-east-1.myhuaweicloud.com/static-files/region_riyadh.png,101008,الزلفي,44.814681416938626,26.313379655035813
10,الرياض,46.6893526894509,24.6787559510409,41.686026,19.208334,48.1838,27.7021,https://suhailapp.obs.me-east-1.myhuaweicloud.com/static-files/region_riyadh.png,101004,المجمـعة,45.37596291402336,25.90337465924469
10,الرياض,46.6893526894509,24.6787559510409,41.686026,19.208334,48.1838,27.7021,https://suhailapp.obs.me-east-1.myhuaweicloud.com/static-files/region_riyadh.png,101017,حـريملاء,46.19546673984374,25.1036160175749
13,المدينة المنورة,39.609449138409516,24.4802585936543,37.084,22.51971,42.1566,27.46665,https://suhailapp.obs.me-east-1.myhuaweicloud.com/static-files/region_al_madenieh.png,131007,وادي الفرع,39.851506676633186,23.485539728709643
