neighborhoodId,month,year,metricsType,avaragePriceOfMeter,parcelObjectId
1010091097,6,2025,أرض سكني,252.0,1010091634031
1010091097,6,2025,فلل,309.0,1010091634031
1010091097,7,2025,أرض سكني,240.0,1010091634031
1010091097,7,2025,فلل,309.0,1010091634031
1010091097,8,2025,أرض سكني,232.0,1010091634031
1010091097,8,2025,فلل,309.0,1010091634031
1010091097,9,2025,أرض سكني,220.0,1010091634031
1010091097,9,2025,فلل,309.0,1010091634031
1010091097,10,2025,أرض سكني,211.0,1010091634031
1010091097,10,2025,فلل,309.0,1010091634031
1010091097,11,2025,أرض سكني,206.0,1010091634031
1010091097,11,2025,فلل,309.0,1010091634031
1010091097,6,2025,أرض سكني,252.0,1010091634032
1010091097,6,2025,فلل,309.0,1010091634032
1010091097,7,2025,أرض سكني,240.0,1010091634032
1010091097,7,2025,فلل,309.0,1010091634032
1010091097,8,2025,أرض سكني,232.0,1010091634032
1010091097,8,2025,فلل,309.0,1010091634032
1010091097,9,2025,أرض سكني,220.0,1010091634032
1010091097,9,2025,فلل,309.0,1010091634032
1010091097,10,2025,أرض سكني,211.0,1010091634032
1010091097,10,2025,فلل,309.0,1010091634032
1010091097,11,2025,أرض سكني,206.0,1010091634032
1010091097,11,2025,فلل,309.0,1010091634032
1010091097,6,2025,أرض سكني,252.0,1010091634033
1010091097,6,2025,فلل,309.0,1010091634033
1010091097,7,2025,أرض سكني,240.0,1010091634033
1010091097,7,2025,فلل,309.0,1010091634033
1010091097,8,2025,أرض سكني,232.0,1010091634033
1010091097,8,2025,فلل,309.0,1010091634033
1010091097,9,2025,أرض سكني,220.0,1010091634033
1010091097,9,2025,فلل,309.0,1010091634033
1010091097,10,2025,أرض سكني,211.0,1010091634033
1010091097,10,2025,فلل,309.0,1010091634033
1010091097,11,2025,أرض سكني,206.0,1010091634033
1010091097,11,2025,فلل,309.0,1010091634033
1010091097,6,2025,أرض سكني,252.0,1010091634034
1010091097,6,2025,فلل,309.0,1010091634034
1010091097,7,2025,أرض سكني,240.0,1010091634034
1010091097,7,2025,فلل,309.0,1010091634034
1010091097,8,2025,أرض سكني,232.0,1010091634034
1010091097,8,2025,فلل,309.0,1010091634034
1010091097,9,2025,أرض سكني,220.0,1010091634034
1010091097,9,2025,فلل,309.0,1010091634034
1010091097,10,2025,أرض سكني,211.0,1010091634034
1010091097,10,2025,فلل,309.0,1010091634034
1010091097,11,2025,أرض سكني,206.0,1010091634034
1010091097,11,2025,فلل,309.0,1010091634034
1010091097,6,2025,أرض سكني,252.0,1010091634035
1010091097,6,2025,فلل,309.0,1010091634035
1010091097,7,2025,أرض سكني,240.0,1010091634035
1010091097,7,2025,فلل,309.0,1010091634035
1010091097,8,2025,أرض سكني,232.0,1010091634035
1010091097,8,2025,فلل,309.0,1010091634035
1010091097,9,2025,أرض سكني,220.0,1010091634035
1010091097,9,2025,فلل,309.0,1010091634035
1010091097,10,2025,أرض سكني,211.0,1010091634035
1010091097,10,2025,فلل,309.0,1010091634035
1010091097,11,2025,أرض سكني,206.0,1010091634035
1010091097,11,2025,فلل,309.0,1010091634035
1010091097,6,2025,أرض سكني,252.0,1010091634037
1010091097,6,2025,فلل,309.0,1010091634037
1010091097,7,2025,أرض سكني,240.0,1010091634037
1010091097,7,2025,فلل,309.0,1010091634037
1010091097,8,2025,أرض سكني,232.0,1010091634037
1010091097,8,2025,فلل,309.0,1010091634037
1010091097,9,2025,أرض سكني,220.0,1010091634037
1010091097,9,2025,فلل,309.0,1010091634037
1010091097,10,2025,أرض سكني,211.0,1010091634037
1010091097,10,2025,فلل,309.0,1010091634037
1010091097,11,2025,أرض سكني,206.0,1010091634037
1010091097,11,2025,فلل,309.0,1010091634037
1010091097,6,2025,أرض سكني,252.0,1010091634038
1010091097,6,2025,فلل,309.0,1010091634038
1010091097,7,2025,أرض سكني,240.0,1010091634038
1010091097,7,2025,فلل,309.0,1010091634038
1010091097,8,2025,أرض سكني,232.0,1010091634038
1010091097,8,2025,فلل,309.0,1010091634038
1010091097,9,2025,أرض سكني,220.0,1010091634038
1010091097,9,2025,فلل,309.0,1010091634038
1010091097,10,2025,أرض سكني,211.0,1010091634038
1010091097,10,2025,فلل,309.0,1010091634038
1010091097,11,2025,أرض سكني,206.0,1010091634038
1010091097,11,2025,فلل,309.0,1010091634038
1010091097,6,2025,أرض سكني,252.0,1010091634039
1010091097,6,2025,فلل,309.0,1010091634039
1010091097,7,2025,أرض سكني,240.0,1010091634039
1010091097,7,2025,فلل,309.0,1010091634039
1010091097,8,2025,أرض سكني,232.0,1010091634039
1010091097,8,2025,فلل,309.0,1010091634039
1010091097,9,2025,أرض سكني,220.0,1010091634039
1010091097,9,2025,فلل,309.0,1010091634039
1010091097,10,2025,أرض سكني,211.0,1010091634039
1010091097,10,2025,فلل,309.0,1010091634039
1010091097,11,2025,أرض سكني,206.0,1010091634039
1010091097,11,2025,فلل,309.0,1010091634039
1010091097,6,2025,أرض سكني,252.0,1010091634040
1010091097,6,2025,فلل,309.0,1010091634040
1010091097,7,2025,أرض سكني,240.0,1010091634040
1010091097,7,2025,فلل,309.0,1010091634040
1010091097,8,2025,أرض سكني,232.0,1010091634040
1010091097,8,2025,فلل,309.0,1010091634040
1010091097,9,2025,أرض سكني,220.0,1010091634040
1010091097,9,2025,فلل,309.0,1010091634040
1010091097,10,2025,أرض سكني,211.0,1010091634040
1010091097,10,2025,فلل,309.0,1010091634040
1010091097,11,2025,أرض سكني,206.0,1010091634040
1010091097,11,2025,فلل,309.0,1010091634040
