URL,sku,Categories,name,description,short_description,price,special_price,qty,is_in_stock,brand,capacity,reserve_capacity,country_of_ manufacture,length_mm,width_mm,height_mm,cca,offer,warranty,image,thumbnail,small_image
https://www.myzdegree.com/shop/battery/gazelle-gold-battery-din80-smf-1200058716,Dbs_20663554,Batteries,GAZELLE GOLD BATTERY DIN80 SMF,Description SKU: 1200058716 Brand Gazelle Gold Battery Capacity 80AH Reserve capacity 80AH Origin China Length (mm) 313 Width (mm) 175 Height (mm) 190 CCA -,GAZELLE GOLD BATTERY DIN80 SMF,330.00,301.0,500,1,Gazelle Gold Battery,80AH,80AH,China,313,175,190,-,Save 11%,N/A,https://www.myzdegree.com/pro-images/YSHJY3m1YvKvPX2do7NnlmPYNNFYLb9uILhdsmYb.png,https://www.myzdegree.com/pro-images/YSHJY3m1YvKvPX2do7NnlmPYNNFYLb9uILhdsmYb.png,https://www.myzdegree.com/pro-images/YSHJY3m1YvKvPX2do7NnlmPYNNFYLb9uILhdsmYb.png
https://www.myzdegree.com/shop/battery/gazelle-gold-battery-din66-smf-1200058715,Dbs_25125834,Batteries,GAZELLE GOLD BATTERY DIN66 SMF,Description SKU: 1200058715 Brand Gazelle Gold Battery Capacity 66AH Reserve capacity 66AH Origin China Length (mm) 275 Width (mm) 175 Height (mm) 175 CCA -,GAZELLE GOLD BATTERY DIN66 SMF,275.00,251.0,500,1,Gazelle Gold Battery,66AH,66AH,China,275,175,175,-,Save 11%,N/A,https://www.myzdegree.com/pro-images/YSHJY3m1YvKvPX2do7NnlmPYNNFYLb9uILhdsmYb.png,https://www.myzdegree.com/pro-images/YSHJY3m1YvKvPX2do7NnlmPYNNFYLb9uILhdsmYb.png,https://www.myzdegree.com/pro-images/YSHJY3m1YvKvPX2do7NnlmPYNNFYLb9uILhdsmYb.png
https://www.myzdegree.com/shop/battery/gazelle-gold-battery-din44-smf-1200058712,Dbs_30488782,Batteries,GAZELLE GOLD BATTERY DIN44 SMF,Description SKU: 1200058712 Brand Gazelle Gold Battery Capacity 44AH Reserve capacity 44AH Origin China Length (mm) 207 Width (mm) 175 Height (mm) 190 CCA -,GAZELLE GOLD BATTERY DIN44 SMF,204.00,182.0,500,1,Gazelle Gold Battery,44AH,44AH,China,207,175,190,-,Save 11%,N/A,https://www.myzdegree.com/pro-images/YSHJY3m1YvKvPX2do7NnlmPYNNFYLb9uILhdsmYb.png,https://www.myzdegree.com/pro-images/YSHJY3m1YvKvPX2do7NnlmPYNNFYLb9uILhdsmYb.png,https://www.myzdegree.com/pro-images/YSHJY3m1YvKvPX2do7NnlmPYNNFYLb9uILhdsmYb.png
https://www.myzdegree.com/shop/battery/gazelle-gold-battery-din70-%2890ah-%29-smf,Dbs_36216724,Batteries,GAZELLE GOLD BATTERY DIN70 (90AH ) SMF,Description SKU: 1200061668 Brand Gazelle Gold Battery Capacity 90AH Reserve capacity 90AH Origin China Length (mm) - Width (mm) - Height (mm) - CCA -,GAZELLE GOLD BATTERY DIN70 (90AH ) SMF,289.00,264.0,500,1,Gazelle Gold Battery,90AH,90AH,China,-,-,-,-,Save 11%,N/A,https://www.myzdegree.com/pro-images/YSHJY3m1YvKvPX2do7NnlmPYNNFYLb9uILhdsmYb.png,https://www.myzdegree.com/pro-images/YSHJY3m1YvKvPX2do7NnlmPYNNFYLb9uILhdsmYb.png,https://www.myzdegree.com/pro-images/YSHJY3m1YvKvPX2do7NnlmPYNNFYLb9uILhdsmYb.png
https://www.myzdegree.com/shop/battery/gazelle-gold-battery-din60-%2860ah-%29-smf,Dbs_41008198,Batteries,GAZELLE GOLD BATTERY DIN60 (60AH ) SMF,Description SKU: 1200061667 Brand Gazelle Gold Battery Capacity 60AH Reserve capacity 60AH Origin China Length (mm) - Width (mm) - Height (mm) - CCA -,GAZELLE GOLD BATTERY DIN60 (60AH ) SMF,280.00,249.0,500,1,Gazelle Gold Battery,60AH,60AH,China,-,-,-,-,Save 11%,N/A,https://www.myzdegree.com/pro-images/YSHJY3m1YvKvPX2do7NnlmPYNNFYLb9uILhdsmYb.png,https://www.myzdegree.com/pro-images/YSHJY3m1YvKvPX2do7NnlmPYNNFYLb9uILhdsmYb.png,https://www.myzdegree.com/pro-images/YSHJY3m1YvKvPX2do7NnlmPYNNFYLb9uILhdsmYb.png
https://www.myzdegree.com/shop/battery/gazelle-gold-battery-nx120-7r-%2880ah%29-smf,Dbs_44762998,Batteries,GAZELLE GOLD BATTERY NX120-7R (80AH) SMF,Description SKU: 1200060686 Brand Gazelle Gold Battery Capacity 80AH Reserve capacity 80AH Origin Malaysia Length (mm) - Width (mm) - Height (mm) - CCA -,GAZELLE GOLD BATTERY NX120-7R (80AH) SMF,357.00,326.0,500,1,Gazelle Gold Battery,80AH,80AH,Malaysia,-,-,-,-,Save 11%,N/A,https://www.myzdegree.com/pro-images/YSHJY3m1YvKvPX2do7NnlmPYNNFYLb9uILhdsmYb.png,https://www.myzdegree.com/pro-images/YSHJY3m1YvKvPX2do7NnlmPYNNFYLb9uILhdsmYb.png,https://www.myzdegree.com/pro-images/YSHJY3m1YvKvPX2do7NnlmPYNNFYLb9uILhdsmYb.png
https://www.myzdegree.com/shop/battery/gazelle-gold-battery-din55-smf-1200058714,Dbs_49241157,Batteries,GAZELLE GOLD BATTERY DIN55 SMF,Description SKU: 1200058714 Brand Gazelle Gold Battery Capacity 55AH Reserve capacity 55AH Origin China Length (mm) 240 Width (mm) 175 Height (mm) 190 CCA -,GAZELLE GOLD BATTERY DIN55 SMF,253.00,225.0,500,1,Gazelle Gold Battery,55AH,55AH,China,240,175,190,-,Save 11%,N/A,https://www.myzdegree.com/pro-images/YSHJY3m1YvKvPX2do7NnlmPYNNFYLb9uILhdsmYb.png,https://www.myzdegree.com/pro-images/YSHJY3m1YvKvPX2do7NnlmPYNNFYLb9uILhdsmYb.png,https://www.myzdegree.com/pro-images/YSHJY3m1YvKvPX2do7NnlmPYNNFYLb9uILhdsmYb.png
https://www.myzdegree.com/shop/battery/gazelle-gold-battery-65-72-%2875ah%29-smf,Dbs_55085176,Batteries,GAZELLE GOLD BATTERY 65-72 (75AH) SMF,Description SKU: 1200060693 Brand Gazelle Gold Battery Capacity 75AH Reserve capacity 75AH Origin Malaysia Length (mm) - Width (mm) - Height (mm) - CCA -,GAZELLE GOLD BATTERY 65-72 (75AH) SMF,348.00,317.0,500,1,Gazelle Gold Battery,75AH,75AH,Malaysia,-,-,-,-,Save 11%,N/A,https://www.myzdegree.com/pro-images/YSHJY3m1YvKvPX2do7NnlmPYNNFYLb9uILhdsmYb.png,https://www.myzdegree.com/pro-images/YSHJY3m1YvKvPX2do7NnlmPYNNFYLb9uILhdsmYb.png,https://www.myzdegree.com/pro-images/YSHJY3m1YvKvPX2do7NnlmPYNNFYLb9uILhdsmYb.png
https://www.myzdegree.com/shop/battery/gazelle-gold-battery-78a-72-%2855ah%29,Dbs_60541551,Batteries,GAZELLE GOLD BATTERY 78A-72 (55AH),Description SKU: 1200060694 Brand Gazelle Gold Battery Capacity 55AH Reserve capacity 55AH Origin Malaysia Length (mm) - Width (mm) - Height (mm) - CCA -,GAZELLE GOLD BATTERY 78A-72 (55AH),296.00,270.0,500,1,Gazelle Gold Battery,55AH,55AH,Malaysia,-,-,-,-,Save 11%,N/A,https://www.myzdegree.com/pro-images/YSHJY3m1YvKvPX2do7NnlmPYNNFYLb9uILhdsmYb.png,https://www.myzdegree.com/pro-images/YSHJY3m1YvKvPX2do7NnlmPYNNFYLb9uILhdsmYb.png,https://www.myzdegree.com/pro-images/YSHJY3m1YvKvPX2do7NnlmPYNNFYLb9uILhdsmYb.png
https://www.myzdegree.com/shop/battery/gazelle-gold-battery-din60-%2860ah%29-smf,Dbs_65967906,Batteries,GAZELLE GOLD BATTERY DIN60 (60AH) SMF,Description SKU: 1200061722 Brand Gazelle Gold Battery Capacity 60AH Reserve capacity 60AH Origin Malaysia Length (mm) - Width (mm) - Height (mm) - CCA -,GAZELLE GOLD BATTERY DIN60 (60AH) SMF,271.00,247.0,500,1,Gazelle Gold Battery,60AH,60AH,Malaysia,-,-,-,-,Save 11%,N/A,https://www.myzdegree.com/pro-images/YSHJY3m1YvKvPX2do7NnlmPYNNFYLb9uILhdsmYb.png,https://www.myzdegree.com/pro-images/YSHJY3m1YvKvPX2do7NnlmPYNNFYLb9uILhdsmYb.png,https://www.myzdegree.com/pro-images/YSHJY3m1YvKvPX2do7NnlmPYNNFYLb9uILhdsmYb.png
